Date,Open,High,Low,Close,Adj_Close,Volume,day
2022-10-10,82.120003,82.82,79.860001,80.120003,77.228973,23165800,0
2022-10-11,78.620003,80.849998,78.290001,79.480003,76.612068,26921100,1
2022-10-12,78.959999,80.68,78.440002,80.120003,77.228973,20551200,2
2022-10-13,79.07,83.709999,79.050003,83.389999,80.380974,35067400,3
2022-10-14,82.480003,83.669998,80.120003,80.279999,77.383186,26747300,4
2022-10-17,81.540001,82.620003,81.050003,81.279999,78.347115,18994200,5
2022-10-18,81.949997,82.75,80.410004,81.989998,79.031487,25187900,6
2022-10-19,82.230003,84.720001,82.199997,84.410004,81.364174,31263800,7
2022-10-20,85.050003,85.830002,83.980003,84.489998,81.441284,25261800,8
2022-10-21,84.959999,87.099998,84.739998,86.93,83.793236,25274200,9
2022-10-24,86.879997,87.949997,86.410004,87.339996,84.188446,22496000,10
2022-10-25,87,87.830002,86.529999,87.43,84.275192,18841800,11
2022-10-26,87.760002,89.32,87.699997,88.620003,85.422256,22706500,12
2022-10-27,89.839996,90.440002,88.669998,88.940002,85.730721,25010600,13
2022-10-28,89.900002,90.629997,87.650002,89.25,86.029526,24664000,14
2022-10-31,88.370003,91.18,88.269997,90,86.752457,29760400,15
2022-11-01,91.510002,91.550003,90.32,90.870003,87.591072,21755400,16
2022-11-02,90.580002,91.050003,88.470001,88.68,85.480095,28249600,17
2022-11-03,88.139999,90.830002,87.889999,90.32,87.060913,26817200,18
2022-11-04,92.330002,93.019997,90.139999,91.419998,88.121216,30295300,19
2022-11-07,91.610001,93.279999,91.449997,92.989998,89.634567,19387700,20
2022-11-08,92.809998,93.480003,91.940002,93.080002,89.721321,21859300,21
2022-11-09,91.82,92.110001,88.330002,88.529999,85.335503,31514000,22
2022-11-10,90.360001,90.599998,88.5,90.5,87.234421,29244100,23
2022-11-11,92.230003,93.610001,92.010002,93.129997,89.769508,25541300,24
2022-11-14,92.860001,94.709999,92.849998,93.099998,89.740601,23122600,25
2022-11-15,93.449997,94.32,92.839996,94.080002,90.685242,25771100,26
2022-11-16,93.239998,93.809998,91.68,92.160004,88.834526,23638600,27
2022-11-17,90.75,92.440002,90.279999,92.360001,89.027306,21429900,28
2022-11-18,90.650002,91.879997,89.510002,91.629997,88.323639,23683100,29
2022-11-21,89.639999,90.629997,87.290001,90.389999,87.128387,42576800,30
2022-11-22,91.519997,93.43,91.099998,93.220001,89.85627,26877500,31
2022-11-23,91.529999,92.800003,91.190002,92.209999,88.882713,20598700,32
2022-11-25,92.269997,92.919998,91.709999,91.870003,88.554985,7591300,33
2022-11-28,89.620003,90.75,89.050003,89.349998,86.125916,29131200,34
2022-11-29,90.339996,91.230003,90.010002,90.699997,87.427193,19024200,35
2022-11-30,91.709999,91.889999,89.720001,91.150002,87.860962,21915100,36
2022-12-01,91.790001,92.25,90.540001,90.849998,87.571793,19451000,37
2022-12-02,90.220001,91.379997,89.779999,90.309998,87.051277,18385000,38
2022-12-05,91.199997,91.559998,86.879997,87.629997,84.467979,25876900,39
2022-12-06,87.080002,88.129997,84.730003,85.32,82.241333,32465100,40
2022-12-07,85.300003,86.419998,84.370003,85.120003,82.048546,24447100,41
2022-12-08,87.029999,87.220001,84.269997,84.739998,81.682259,25640400,42
2022-12-09,84.470001,85.400002,82.650002,82.68,79.696587,24048900,43
2022-12-12,83.150002,85.050003,82.830002,84.849998,81.788292,21092400,44
2022-12-13,86.5,87.18,85.779999,86.459999,83.340202,27278700,45
2022-12-14,87.050003,87.360001,85.160004,85.93,82.829315,26337800,46
2022-12-15,85.18,85.610001,83.959999,85.410004,82.328087,20203300,47
2022-12-16,83.800003,84.760002,83.209999,84.360001,81.315971,29550500,48
2022-12-19,84.379997,84.650002,82.879997,83.489998,81.306244,18418300,49
2022-12-20,83.75,85.290001,83.43,84.75,82.533287,14296500,50
2022-12-21,86.480003,86.75,85.209999,86.360001,84.101166,17029100,51
2022-12-22,86.449997,86.5,82.68,84.370003,82.163223,18679700,52
2022-12-23,85.489998,87.080002,85.050003,87.059998,84.78286,14815000,53
2022-12-27,87.440002,88.360001,87.120003,87.989998,85.688538,16374600,54
2022-12-28,87.870003,87.870003,85.75,86.019997,83.770058,15919000,55
2022-12-29,85.660004,87.309998,85.620003,86.919998,84.646523,13457900,56
2022-12-30,86.459999,87.639999,86.449997,87.470001,85.182144,11330900,57
2023-01-03,86.919998,87.360001,83.349998,84.400002,82.192436,26541400,58
2023-01-04,83.150002,84.879997,82.830002,84.389999,82.182701,22852600,59
2023-01-05,84.25,86.400002,84.010002,85.93,83.682411,19361900,60
2023-01-06,87.040001,88.629997,86.82,87.559998,85.269783,22211200,61
2023-01-09,88.879997,89.019997,86.970001,87.25,84.967896,23001600,62
2023-01-10,87.82,88.050003,86.489998,87.870003,85.571678,15799500,63
2023-01-11,88.639999,88.860001,87.190002,88.139999,85.83461,16451500,64
2023-01-12,88.669998,90.400002,88.5,89.82,87.470665,18358000,65
2023-01-13,89.75,90.169998,88.800003,89.949997,87.597267,15904200,66
2023-01-17,90.160004,91.080002,89.769997,90.139999,87.782303,16966600,67
2023-01-18,90.559998,91.57,88.400002,88.489998,86.175453,19037600,68
2023-01-19,87.980003,89.949997,87.790001,89.589996,87.246689,17146900,69
2023-01-20,89.779999,90.790001,88.870003,90.480003,88.113403,14280000,70
2023-01-23,91.139999,91.589996,90.309998,90.599998,88.230263,14652500,71
2023-01-24,90.300003,90.459999,88.459999,90.25,87.88942,15377600,72
2023-01-25,89.809998,90.260002,88.379997,90.260002,87.899162,13430600,73
2023-01-26,91.720001,93.150002,90.599998,93.110001,90.674614,18331500,74
2023-01-27,92.610001,93.07,91.080002,91.230003,88.843796,17420500,75
2023-01-30,90.57,90.699997,89.019997,89.139999,86.808464,13762500,76
2023-01-31,88.839996,90.07,87.93,89.93,87.577789,13924100,77
2023-02-01,89.510002,89.889999,87,88.160004,85.854095,23483600,78
2023-02-02,87.82,87.989998,85.199997,86.150002,83.89666,24901500,79
2023-02-03,86.510002,87.910004,85.870003,85.959999,83.711632,22727400,80
2023-02-06,86.040001,86.690002,84.519997,85.57,83.331825,15857200,81
2023-02-07,86.110001,88.480003,85.660004,88.349998,86.039124,20507000,82
2023-02-08,88.279999,88.730003,87.059998,87.559998,85.269783,13483600,83
2023-02-09,87.57,87.849998,86.75,86.809998,84.539391,16075200,84
2023-02-10,88.25,90.389999,88.169998,90.209999,87.850471,20001600,85
2023-02-13,89.75,90.330002,88.82,89.980003,87.62648,12372400,86
2023-02-14,89.269997,90.669998,89.019997,90.010002,87.655701,13511300,87
2023-02-15,89,89.190002,87.349998,88.480003,86.165718,15969800,88
2023-02-16,88,88.760002,87.519997,87.610001,85.318481,12657100,89
2023-02-17,86.25,86.309998,84.120003,84.489998,82.280083,22340200,90
2023-02-21,84.120003,85.040001,83.910004,84.07,81.871063,16811300,91
2023-02-22,83.839996,84.629997,82.790001,83.510002,81.325722,20135200,92
2023-02-23,84.769997,85.260002,83.699997,84.769997,82.552757,17511700,93
2023-02-24,83.519997,84.779999,83.040001,84.660004,82.445641,18748400,94
2023-02-27,84.830002,85.279999,84.209999,84.910004,82.689095,15338200,95
2023-02-28,85.769997,85.800003,83.620003,83.690002,81.501007,19003800,96
2023-03-01,83.760002,85.769997,83.449997,85.339996,83.107841,18547000,97
2023-03-02,85.190002,86.410004,84.919998,86.089996,83.838226,16399300,98
2023-03-03,85.059998,87.690002,85,87.260002,84.977623,25337600,99
2023-03-06,86.779999,87.440002,86.43,87.300003,85.016586,16949200,100
2023-03-07,86.779999,87,85.559998,85.779999,83.536339,18500200,101
2023-03-08,85.400002,86.489998,84.080002,84.900002,82.679359,19699500,102
2023-03-09,85.389999,86.589996,83.68,83.699997,81.510742,18944100,103
